"","Child","X","layer","age","aq","priorByMean","priorByStd","priorByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"15","P113",220,2,64,23,0.92765383949283,0.303621104731459,1.25729728924845,11.3055555555556,74.1388888888889,93.0277777777778,4.16666666666667,4.31944444444444
"16","P115",221,2,60,22,0.706683123217763,0.36832035369466,1.37998668265054,44.3,57.5333333333333,9.73333333333333,15.7,17.6166666666667
"17","P116",222,2,78,27.5510204081633,0.990650132505381,0.41595787126909,1.37718884093944,69,78.5294117647059,14.7352941176471,29.8823529411765,15.7794117647059
"18","P117",223,2,42,20,0.911463754126234,0.391212670102439,1.30580051831128,34.4166666666667,33.3333333333333,22.3888888888889,16.4444444444444,29.7916666666667
"19","P118",224,2,54,17.7083333333333,0.954580391238732,0.377404962477173,1.23628727960145,4.83333333333333,67.4444444444444,96.7777777777778,0,0
"20","P119",225,2,38,12,0.450653621795336,0.203767853425085,0.786951402388626,16.4,30.1,21.8333333333333,25.7,50.4166666666667
"21","P12",226,2,46,9,0.677562298956149,0.399630560655624,1.43649389773112,0,18.1666666666667,3.83333333333333,44.8333333333333,30.6666666666667
"22","P120",227,2,59,15,0.951610990771697,0.399748785364171,1.49907352039837,58.948275862069,72.4137931034483,16.1724137931034,39.3103448275862,17.2586206896552
"23","P121",228,2,66,-1,0.961930217159383,0.318520536316295,1.11615286951178,61,77.2692307692308,16.2307692307692,19.7307692307692,10.8846153846154
"24","P13",229,2,58,18,0.787737871648921,0.405798893045451,1.02839790934404,19.75,67.0555555555556,87,25.7222222222222,17
"25","P14",230,2,38,20,0.546010859589111,0.180392289647332,0.535473562883695,29.9838709677419,44.1290322580645,37.0645161290323,39.9354838709677,33.0483870967742
"26","P15",231,2,29,-1,0.525637589381462,0.223493867804827,0.803918290246492,22.5178571428571,23.3571428571429,10.8928571428571,11.5714285714286,61.3035714285714
"27","P16",232,2,62,35,0.342321413718706,0.16658601784496,0.541836698716322,18.3,24.9666666666667,12.2,23.0666666666667,52.7333333333333
"28","P17",233,2,67,6,0.611214509156074,0.342385863066579,0.984212980085314,37.8833333333333,41.4666666666667,15.7666666666667,30.9,36.2833333333333
"29","P18",234,2,53,20,0.639848444932213,0.269673774648422,0.98986521514041,42.3448275862069,68.448275862069,11.8620689655172,60.8965517241379,20.9310344827586
"30","P19",235,2,71,15,0.779297059799108,0.292479035381864,1.05804851212619,53.875,72.0714285714286,15.8928571428571,26.25,11.5178571428571
"31","P20",236,2,49,15.8536585365854,0.628726316591816,0.408468488848213,1.33113005169293,36.0322580645161,47.8709677419355,27.5161290322581,47.5161290322581,36.8225806451613
"32","P21",237,2,60,16,0.738405511348582,0.325592909259807,1.28712599308639,24.3333333333333,49.1851851851852,31.1481481481481,9.18518518518519,20.2407407407407
"33","P22",238,2,71,18,0.692839028897264,0.308790472405013,1.18782511219032,59.9814814814815,69.8148148148148,16,19.7037037037037,13.3333333333333
"34","P24",239,2,65,21,0.541039691534199,0.243306110742227,0.937861636627969,37.9137931034483,48.4827586206897,24.2068965517241,44.5172413793103,35.051724137931
"35","P25",240,2,41,17.0454545454545,0.383776982780506,0.217742193334788,0.735156143115794,33.7666666666667,48.7333333333333,33.5666666666667,30.7,21.4
"36","P26",241,2,56,15.5555555555556,0.761034537027821,0.337305986780129,1.06303571164093,17.7407407407407,32.2962962962963,16.962962962963,65.962962962963,41.0925925925926
"37","P27",242,2,55,10.4166666666667,0.584269550859918,0.218081713332589,0.725353519192964,19.9137931034483,33.2758620689655,16.3793103448276,56.0689655172414,48.2931034482759
"38","P28",243,2,66,7,0.958306462743349,0.407811354938918,1.36145673052678,64.6964285714286,65.3214285714286,33.0714285714286,27.9285714285714,21.75
"39","P29",244,2,66,11,0.831424002488562,0.473758798953708,1.37088486235111,42.3888888888889,63.1851851851852,7.48148148148148,9.37037037037037,19.537037037037
"40","P30",245,2,89,16,0.857706369105263,0.332866719317626,1.14457111433977,19.7666666666667,68.8666666666667,16.1333333333333,84.3666666666667,18.8333333333333
