,layer,Child,age,aq,priorByMean,priorByStd,priorByMaxmin
363,3.0,P48,47,18.367346938775498,1.0499284221016083,0.5467690304084963,1.7437704211211233
364,3.0,P50,26,10.7142857142857,0.8859306278058168,0.4072651055468665,1.332291785752636
365,3.0,P51,37,22.0,1.0464639798417725,0.4536489405958971,1.369970464223561
366,3.0,P52,27,14.0,0.9683722248585723,0.4744544284120217,1.635821035518306
367,3.0,P53,35,17.0,0.9993010330312981,0.3877291213967406,1.3146994526587688
368,3.0,P54,41,16.0,0.8223439730742149,0.4262394336241736,1.246170539284985
369,3.0,P55,49,11.0,0.544264166479559,0.25240828254825975,0.7723223974038224
370,3.0,P56,73,23.0,0.5048815258582735,0.3028452112802238,1.0962424603968923
371,3.0,P57,90,16.0,0.6336514810513196,0.3491963625333575,1.1176967068046344
372,3.0,P58,99,14.285714285714299,1.1052942741438774,0.5877061091661893,1.6150987191105108
373,3.0,P59,49,25.0,0.6127762954125663,0.5052805791088392,1.3555399698123578
374,3.0,P60,75,30.0,0.9759715421490657,0.43875915956487865,1.2830357678976165
375,3.0,P61,57,17.0,1.0158630607602062,0.3499331960702613,0.7968169166253809
376,3.0,P62,73,27.0,1.0899444846033048,0.445516945045752,1.6026557350863617
377,3.0,P63,67,17.0,0.9450106760434576,0.34002702035046367,1.4213670020211873
378,3.0,P64,48,12.0,0.849314661303455,0.39851486966328126,1.3649091372308355
379,3.0,P65,56,32.0,1.040388029428071,0.3718073621837359,1.3012611989562517
380,3.0,P66,83,11.904761904761902,1.1235622581239604,0.33070534872674684,1.1226513927973567
381,3.0,P67,64,9.0,1.046924630155417,0.5676407998602324,1.683617687988447
382,3.0,P68,70,20.0,0.8780139576865721,0.4978789228068816,1.5338735285838392
383,3.0,P70,65,15.0,1.0888483674642966,0.3663494111929739,1.113493913977665
384,3.0,P71,56,11.0,0.9269485757655682,0.4715125658906322,1.4596322218973172
385,3.0,P72,50,15.0,1.005594177479544,0.3556813042094905,1.4097979437418542
386,3.0,P73,76,19.0,0.915882242159374,0.35488739333489494,1.38205440637291
387,3.0,P74,63,23.0,0.6746707727892447,0.300885899102969,0.9410921842058234
388,3.0,P75,42,15.217391304347801,0.7981660392864399,0.42995000599617983,1.4427333422814739
389,3.0,P76,35,36.0,0.9125326639815353,0.45628109852879617,1.4877802758140057
390,3.0,P77,60,10.0,1.0301999015552665,0.5466008740156411,1.5431080948455596
391,3.0,P78,36,26.6666666666667,0.23520656386464878,0.0916877702269616,0.26208591268461623
392,3.0,P79,39,24.4897959183673,0.7842344865634949,0.40986624684791007,1.3198271692833785
393,3.0,P8,31,20.4081632653061,0.1750174484967212,0.13314806364433157,0.5061128898493878
394,3.0,P80,82,6.0,1.02740341764812,0.40129324998866983,1.362326637405936
395,3.0,P81,59,19.387755102040803,0.8596508989845156,0.37394876005057986,1.343168150520099
396,3.0,P82,78,23.0,0.9625861630637595,0.37995971172914267,1.1054601589985031
397,3.0,P83,74,17.0,0.3519367182430547,0.1883634832196793,0.6267217919043124
398,3.0,P84,38,21.0,0.9978051764460947,0.40688142767248525,1.2481861058409853
399,3.0,P85,80,19.0,0.9922168131499767,0.34749999617344307,1.3279969447278268
400,3.0,P86,49,16.0,0.4632340085585778,0.21159491420842944,0.684909201837356
401,3.0,P88,57,38.0,1.03988100998164,0.5177812239660322,1.5265140168896303
402,3.0,P89,63,13.8297872340426,0.9147465503427787,0.39817909457792156,1.2934959982573568
403,3.0,P90,66,10.0,0.8836736609670351,0.30753409623041444,0.7204608209251455
404,3.0,P91,58,11.2244897959184,0.844181064731786,0.39661299512928583,1.3334886371085688
405,3.0,P93,55,16.0,0.8895582848139069,0.4056149674670557,1.2591921555259398
406,3.0,P94,63,31.0,0.9832560920347669,0.42929573354526274,1.488780758626297
407,3.0,P95,75,10.0,0.9191391864555328,0.46300548218248194,1.5047073608990473
408,3.0,P96,45,12.0,0.9075776741646676,0.4068352315672714,1.389239728306622
409,3.0,P97,61,27.5510204081633,1.1238919054883483,0.44319678699843296,1.3360354142868611
410,3.0,P98,36,11.458333333333302,0.8652670950683329,0.42484894663695894,1.458456306191627
411,3.0,P99,52,23.4042553191489,0.5538514022989975,0.24766385447133546,0.8800953058082754
412,4.0,P10,68,11.2244897959184,0.5796464066693012,0.505636227388784,1.4128750694233883
413,4.0,P100,45,15.306122448979599,0.6639705108717141,0.2913408842767564,0.944002861115964
414,4.0,P101,25,30.851063829787197,0.4981630187898668,0.29904700254155037,0.9564561238053346
415,4.0,P102,61,19.0,0.6058177778688394,0.29680948474130187,1.004468626871339
416,4.0,P103,27,-1.0,0.8009877572053715,0.40431089780439255,1.343773885985968
417,4.0,P104,92,23.0,0.4962833389442558,0.2563795623291286,0.9160338651349186
418,4.0,P105,61,11.0,1.0703727773132177,0.6556602367645117,1.5890706535455692
419,4.0,P106,68,21.0,0.9546700499888826,0.7334270939068714,1.7774544664558063
420,4.0,P107,46,27.0833333333333,0.8573123713913833,0.5254188936252813,1.6676855218031894
421,4.0,P108,43,28.0,0.33193785893688305,0.2539239323348086,0.8111402584341517
422,4.0,P109,35,16.0,0.8879118269617413,0.540880371995354,1.7404840540628088
423,4.0,P11,94,34.6938775510204,0.786513792503055,0.4630730822039515,1.2053178496979027
424,4.0,P110,88,17.0,0.9696529327142045,0.5494850609609567,1.6829453733502602
425,4.0,P111,73,16.3265306122449,0.49668583700651375,0.296571234096174,1.1026260899577038
426,4.0,P113,64,23.0,0.8371503420727147,0.5826807801369617,1.7509590329589317
427,4.0,P115,60,22.0,1.0723788241928125,0.3690061409926872,1.2280765811817869
428,4.0,P116,78,27.5510204081633,0.8939994412452061,0.43749697421559125,1.2626689958673878
429,4.0,P117,42,20.0,0.7698649368914802,0.32549752377687435,1.1458686497856498
430,4.0,P118,54,17.7083333333333,0.6388222993124218,0.34857128763608203,1.2990932056848574
431,4.0,P119,38,12.0,0.7599643128491872,0.40544566589569087,1.332271912050264
432,4.0,P12,46,9.0,0.687112330605213,0.36994158814357503,1.1658213190455717
433,4.0,P120,59,15.0,1.015739605632605,0.46888446561916797,1.56998906416576
434,4.0,P121,66,-1.0,0.749283340679854,0.22987828347696324,0.7614803247129118
435,4.0,P13,58,18.0,0.5834061772036941,0.3405674076202976,0.8823047036546771
436,4.0,P14,38,20.0,0.5099345137446027,0.3351841189760544,1.2261763211586354
