,age_group,image_url,pic_class,pic_type,layer,age,aq,dist
2255,1,P103_image-5_type-O_class-F.JPG,class-F,type-O,3,27,-1.0,0.5297802567854557
2256,1,P103_image-6_type-S_class-M.JPG,class-M,type-S,3,27,-1.0,0.5425102142055128
2257,4,P104_image-1_type-I_class-C.JPG,class-C,type-I,3,92,23.0,0.09642542546825972
2258,4,P104_image-2_type-O_class-H.JPG,class-H,type-O,3,92,23.0,0.24847138264063218
2259,4,P104_image-3_type-O_class-F.JPG,class-F,type-O,3,92,23.0,0.05634009513574967
2260,4,P104_image-4_type-I_class-M.JPG,class-M,type-I,3,92,23.0,0.03340292045017823
2261,4,P104_image-5_type-S_class-C.JPG,class-C,type-S,3,92,23.0,0.29463914515270617
2262,4,P104_image-6_type-S_class-F.JPG,class-F,type-S,3,92,23.0,0.8543415980334669
2263,3,P105_image-1_type-I_class-C.JPG,class-C,type-I,3,61,11.0,0.3496581787141777
2264,3,P105_image-3_type-S_class-H.JPG,class-H,type-S,3,61,11.0,1.1577526158066456
2265,3,P105_image-5_type-O_class-M.JPG,class-M,type-O,3,61,11.0,0.17394722139533658
2266,3,P105_image-6_type-O_class-H.JPG,class-H,type-O,3,61,11.0,0.49393205601868573
2267,3,P106_image-1_type-O_class-C.JPG,class-C,type-O,3,68,21.0,0.0187662808480219
2268,3,P106_image-2_type-S_class-H.JPG,class-H,type-S,3,68,21.0,0.7194127667375678
2269,3,P106_image-3_type-I_class-F.JPG,class-F,type-I,3,68,21.0,0.6779487476322545
2270,3,P106_image-4_type-I_class-H.JPG,class-H,type-I,3,68,21.0,0.2782122176354239
2271,3,P106_image-5_type-O_class-M.JPG,class-M,type-O,3,68,21.0,0.024463666188642486
2272,3,P106_image-6_type-S_class-M.JPG,class-M,type-S,3,68,21.0,0.2270232728919992
2273,2,P107_image-1_type-S_class-M.JPG,class-M,type-S,3,46,27.0833333333333,0.6336043542393214
2274,2,P107_image-2_type-I_class-M.JPG,class-M,type-I,3,46,27.0833333333333,0.12518715810894765
2275,2,P107_image-3_type-O_class-C.JPG,class-C,type-O,3,46,27.0833333333333,0.054669611175004795
2276,2,P107_image-4_type-I_class-H.JPG,class-H,type-I,3,46,27.0833333333333,0.48353741331385325
2277,2,P107_image-5_type-S_class-C.JPG,class-C,type-S,3,46,27.0833333333333,0.596265743869365
2278,2,P107_image-6_type-O_class-F.JPG,class-F,type-O,3,46,27.0833333333333,0.23457874612633156
2279,2,P108_image-1_type-O_class-F.JPG,class-F,type-O,3,43,28.0,0.08798337293738456
2280,2,P108_image-2_type-I_class-C.JPG,class-C,type-I,3,43,28.0,0.10564494634930144
2281,2,P108_image-3_type-S_class-F.JPG,class-F,type-S,3,43,28.0,0.8003273602565956
2282,2,P108_image-4_type-S_class-C.JPG,class-C,type-S,3,43,28.0,0.269199518492483
2283,2,P108_image-5_type-O_class-H.JPG,class-H,type-O,3,43,28.0,0.1932641973752215
2284,2,P108_image-6_type-I_class-M.JPG,class-M,type-I,3,43,28.0,0.051738348590286254
2285,1,P109_image-1_type-I_class-C.JPG,class-C,type-I,3,35,16.0,0.09988183813593743
2286,1,P109_image-2_type-I_class-F.JPG,class-F,type-I,3,35,16.0,0.22971187848850105
2287,1,P109_image-3_type-S_class-H.JPG,class-H,type-S,3,35,16.0,1.1608030437420516
2288,1,P109_image-4_type-O_class-M.JPG,class-M,type-O,3,35,16.0,0.0877689496309686
2289,1,P109_image-5_type-O_class-H.JPG,class-H,type-O,3,35,16.0,0.19083328507872477
2290,1,P109_image-6_type-S_class-F.JPG,class-F,type-S,3,35,16.0,0.32960196614522164
2291,4,P110_image-1_type-S_class-H.JPG,class-H,type-S,3,88,17.0,0.32171353094487765
2292,4,P110_image-2_type-O_class-C.JPG,class-C,type-O,3,88,17.0,0.05098850703342572
2293,4,P110_image-3_type-S_class-M.JPG,class-M,type-S,3,88,17.0,0.27788764815687106
2294,4,P110_image-4_type-I_class-F.JPG,class-F,type-I,3,88,17.0,0.5804100304246024
2295,4,P110_image-5_type-I_class-H.JPG,class-H,type-I,3,88,17.0,0.7978732818846063
2296,4,P110_image-6_type-O_class-M.JPG,class-M,type-O,3,88,17.0,0.04129493829736752
2297,4,P111_image-1_type-I_class-H.JPG,class-H,type-I,3,73,16.3265306122449,0.21252534302231973
2298,4,P111_image-2_type-I_class-M.JPG,class-M,type-I,3,73,16.3265306122449,0.02395485817876941
2299,4,P111_image-3_type-S_class-C.JPG,class-C,type-S,3,73,16.3265306122449,0.3041477476342931
2300,4,P111_image-4_type-O_class-F.JPG,class-F,type-O,3,73,16.3265306122449,0.042860961690760035
2301,4,P111_image-5_type-S_class-M.JPG,class-M,type-S,3,73,16.3265306122449,0.10593825005716195
2302,4,P111_image-6_type-O_class-C.JPG,class-C,type-O,3,73,16.3265306122449,0.024368726083961345
2303,3,P113_image-1_type-S_class-C.JPG,class-C,type-S,3,64,23.0,0.3640993953792968
2304,3,P113_image-2_type-S_class-M.JPG,class-M,type-S,3,64,23.0,0.3170087814393885
2305,3,P113_image-3_type-O_class-F.JPG,class-F,type-O,3,64,23.0,0.2839661127705365
2306,3,P113_image-4_type-O_class-C.JPG,class-C,type-O,3,64,23.0,0.0442413731869572
2307,3,P113_image-5_type-I_class-H.JPG,class-H,type-I,3,64,23.0,0.5005138122205497
2308,3,P113_image-6_type-I_class-M.JPG,class-M,type-I,3,64,23.0,0.1226938515246847
2309,2,P115_image-1_type-O_class-M.JPG,class-M,type-O,3,60,22.0,0.023563356863345764
2310,2,P115_image-2_type-I_class-F.JPG,class-F,type-I,3,60,22.0,0.40144850055596226
2311,2,P115_image-3_type-S_class-F.JPG,class-F,type-S,3,60,22.0,0.5593474644265255
2312,2,P115_image-4_type-O_class-H.JPG,class-H,type-O,3,60,22.0,0.42813105044168687
2313,2,P115_image-5_type-I_class-C.JPG,class-C,type-I,3,60,22.0,0.666107044891568
2314,2,P115_image-6_type-S_class-H.JPG,class-H,type-S,3,60,22.0,1.185519508992327
2315,4,P116_image-1_type-O_class-M.JPG,class-M,type-O,3,78,27.5510204081633,0.055140750216178036
2316,4,P116_image-2_type-S_class-M.JPG,class-M,type-S,3,78,27.5510204081633,0.2081299380172691
2317,4,P116_image-3_type-I_class-H.JPG,class-H,type-I,3,78,27.5510204081633,0.13851731589227245
2318,4,P116_image-4_type-O_class-C.JPG,class-C,type-O,3,78,27.5510204081633,0.040375863238672705
2319,4,P116_image-5_type-S_class-H.JPG,class-H,type-S,3,78,27.5510204081633,0.6240303386891362
2320,4,P116_image-6_type-I_class-F.JPG,class-F,type-I,3,78,27.5510204081633,0.4430133252248629
2321,2,P117_image-1_type-O_class-F.JPG,class-F,type-O,3,42,20.0,0.17696280294029987
2322,2,P117_image-2_type-S_class-M.JPG,class-M,type-S,3,42,20.0,0.16133288546521274
