,style,layer,dist
252,1,1,0.29246982722299286
253,1,1,0.19956586841065094
254,1,1,0.7200696305873779
255,1,1,0.1960939871110099
256,1,1,0.03425332176125806
257,1,1,0.30378428280546554
258,1,1,0.1017077152747845
259,1,1,0.37732236494339055
260,1,1,0.16147006109491102
261,1,1,0.3367401999586167
262,1,1,0.37532612132013476
263,1,1,0.13534523326975278
264,1,1,0.3991083345740387
265,1,1,0.24022231233620361
266,1,1,0.6800271107239217
267,1,1,0.4471852726617769
268,1,1,0.185223659092281
269,1,1,0.07578173371844288
270,1,1,0.6426130417713045
271,1,1,0.21282153766575385
272,1,1,0.4592199883314446
273,1,1,0.6667034169954191
274,1,1,0.12710232799417054
275,1,1,0.4539687145019806
276,1,1,1.0630627975212419
277,1,1,0.4697718397402899
278,1,1,0.5300145846861166
279,1,1,0.13465446254065683
280,1,1,0.17263709064049249
281,1,1,0.24061357380081938
282,1,1,0.7737990704692019
283,1,1,0.3987754420182731
284,1,1,0.4055895750027825
285,1,1,0.689709875800625
286,1,1,0.44291018973630214
287,1,1,0.23453180855233802
288,1,1,0.5605753178301252
289,1,1,0.596967742447517
290,1,1,0.20153452812658357
291,1,1,0.6513047257998278
292,1,1,0.6309718850224759
293,1,1,0.43984110365964213
294,1,1,0.07359910366839229
295,1,1,0.45822078312592995
296,1,1,0.5610481441882913
297,1,1,0.8144241890781501
298,1,1,0.6077137002129398
299,1,1,0.07073123915173596
300,1,1,0.1335320824677143
301,1,1,0.33729523659579574
302,1,1,0.04508753346032035
303,1,1,0.4726786526939778
304,1,1,0.19989684996371848
305,1,1,0.12624475259199663
306,1,1,0.5874670117354115
307,1,1,0.32396706901396644
308,1,1,0.3116238121238093
309,1,1,0.11170606132824079
310,1,1,0.21100953642984066
311,1,1,0.45503796931047014
312,1,1,0.22546917308852266
313,1,1,0.19651212084110503
314,1,1,0.275895595017852
315,1,1,0.6401436546024609
316,1,1,0.8424395319979212
317,1,1,0.0952397369487128
318,1,1,0.5706504483658013
319,1,2,0.06570353640209103
320,1,2,0.9553430004245225
321,1,2,0.21277048524813136
322,1,2,0.4365356819823546
323,1,2,0.05254918876318704
324,1,2,0.21092944823800897
325,1,2,0.23066695587673025
326,1,2,0.6911462703270248
327,1,2,0.6714131322662911
328,1,2,0.15873293139349642
329,1,2,0.18645352999552267
330,1,2,0.07079596863099746
331,1,2,0.7017438397269709
332,1,2,0.34676766665038383
333,1,2,0.1404503055287616
334,1,2,0.07834461442576157
335,1,2,0.184941617192677
336,1,2,0.39671351010642264
337,1,2,0.1573153312890293
338,1,2,0.08619694425724311
339,1,2,0.03635272993395866
340,1,2,0.21688342886919187
341,1,2,0.2220955970679911
342,1,2,0.3171856690955498
343,1,2,0.18557520138432426
344,1,2,0.1935901142906139
345,1,2,0.2538772873966384
346,1,2,0.11054711193499478
347,1,2,0.9267546934192945
348,1,2,0.11328319915340845
349,1,2,0.009129900003195024
350,1,2,0.3259353385065997
351,1,2,0.06972442644498178
352,1,2,0.32509544785465616
353,1,2,0.09981301388580244
354,1,2,0.07807727454115687
355,1,2,0.17953131971066594
356,1,2,0.08209125530489403
357,1,2,0.35205309628510706
358,1,2,0.1889124296902498
359,1,2,0.8069070906912859
360,1,2,0.46307739277294935
361,1,2,0.24776213479428588
362,1,2,0.06133063352554169
363,1,2,0.7756818247346305
364,1,2,0.22048908354878638
365,1,2,0.20034636972576148
366,1,2,0.7386453689816954
367,1,2,0.06627747299652942
368,1,2,0.38080840204279875
369,1,2,0.3807021038867969
370,1,2,0.34292532045857516
371,1,2,0.4976514657963833
