"","Child","X","layer","age","aq","scoreByMean","scoreByStd","scoreByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"25","P14",24,0,38,20,0.496368138457595,0.146854726001106,0.586416581005657,29.9838709677419,44.1290322580645,37.0645161290323,39.9354838709677,33.0483870967742
"26","P15",25,0,29,-1,0.439163538432295,0.142389319346702,0.483228635898483,22.5178571428571,23.3571428571429,10.8928571428571,11.5714285714286,61.3035714285714
"27","P16",26,0,62,35,0.450129291840145,0.158905949205359,0.5638883635519,18.3,24.9666666666667,12.2,23.0666666666667,52.7333333333333
"28","P17",27,0,67,6,0.498424066574402,0.202029303621425,0.663238922104362,37.8833333333333,41.4666666666667,15.7666666666667,30.9,36.2833333333333
"29","P18",28,0,53,20,0.577417848428666,0.191499149696786,0.639249998529261,42.3448275862069,68.448275862069,11.8620689655172,60.8965517241379,20.9310344827586
"30","P19",29,0,71,15,0.687285278530129,0.196196861846719,0.609235205438697,53.875,72.0714285714286,15.8928571428571,26.25,11.5178571428571
"31","P20",30,0,49,15.8536585365854,0.627566963378383,0.334209315864146,0.965937847436632,36.0322580645161,47.8709677419355,27.5161290322581,47.5161290322581,36.8225806451613
"32","P21",31,0,60,16,0.644011540599576,0.263931178247882,1.06815278956748,24.3333333333333,49.1851851851852,31.1481481481481,9.18518518518519,20.2407407407407
"33","P22",32,0,71,18,0.541019742170084,0.177533471664538,0.684940053704581,59.9814814814815,69.8148148148148,16,19.7037037037037,13.3333333333333
"34","P24",33,0,65,21,0.613359716844375,0.185132629583364,0.722088215568075,37.9137931034483,48.4827586206897,24.2068965517241,44.5172413793103,35.051724137931
"35","P25",34,0,41,17.0454545454545,0.338934950505378,0.137635064348861,0.43257010772839,33.7666666666667,48.7333333333333,33.5666666666667,30.7,21.4
"36","P26",35,0,56,15.5555555555556,0.563158009595181,0.132251240906763,0.470835680721301,17.7407407407407,32.2962962962963,16.962962962963,65.962962962963,41.0925925925926
"37","P27",36,0,55,10.4166666666667,0.462517530033578,0.134730541995832,0.484425711659618,19.9137931034483,33.2758620689655,16.3793103448276,56.0689655172414,48.2931034482759
"38","P28",37,0,66,7,0.873189465525334,0.262214886366823,0.732621591294167,64.6964285714286,65.3214285714286,33.0714285714286,27.9285714285714,21.75
"39","P29",38,0,66,11,0.83253746424396,0.393373105617504,1.04309845784983,42.3888888888889,63.1851851851852,7.48148148148148,9.37037037037037,19.537037037037
"40","P30",39,0,89,16,0.606281299512965,0.156893949205996,0.6570272598629,19.7666666666667,68.8666666666667,16.1333333333333,84.3666666666667,18.8333333333333
"41","P31",40,0,60,24.4897959183673,0.699771463419104,0.213202185427495,0.87833896326329,60.7777777777778,68.7777777777778,19.0740740740741,20.2592592592593,23.5925925925926
"42","P32",41,0,68,11.2244897959184,0.751486883782523,0.279793744895131,0.868981149358208,38.55,38.3,21.5666666666667,33.6,48.9166666666667
"43","P33",42,0,67,23.6842105263158,0.512971061183262,0.154301396090767,0.527217274686649,29.0333333333333,70.2666666666667,27.9333333333333,80.7,16.7
"44","P34",43,0,46,26.530612244898,0.580357005011592,0.172789349516024,0.607753900453059,33.5178571428571,50.8571428571429,35.1071428571429,16.8928571428571,26.4464285714286
"45","P35",44,0,61,33,0.503936812202874,0.206459313330582,0.750569868609352,19,72.7666666666667,15.6333333333333,81.2,13.7666666666667
"46","P36",45,0,52,15,0.75597667855409,0.21885887637205,0.669555468948622,31.6896551724138,58.8620689655172,26.9655172413793,59.5862068965517,32.7241379310345
"47","P39",46,0,50,11.2244897959184,0.838025181750844,0.257700527839257,0.986149919317369,57.3,59.7666666666667,15.0333333333333,21.9,31.0333333333333
"48","P41",47,0,48,10,0.476624706774864,0.228830324210448,0.788560945725637,32.2833333333333,47.6666666666667,27.4333333333333,14.4666666666667,28.85
"49","P42",48,0,51,7,0.601540349408379,0.194736042243663,0.43618368374741,26.7666666666667,65.6,30.4666666666667,81.3333333333333,28.5
"50","P43",49,0,61,13.6363636363636,0.325837099730595,0.154018554292024,0.569601581193832,33.8965517241379,47.7586206896552,21.9655172413793,47.7586206896552,38.051724137931
"51","P44",50,0,38,22,0.42436048068785,0.160732991481558,0.540782119145751,22.8620689655172,27.2758620689655,19.551724137931,37.0344827586207,49.7241379310345
"52","P45",51,0,36,20,0.73629161895877,0.278826247902439,0.907148120759566,24.0862068965517,43.6896551724138,45.2068965517241,47.5172413793103,33.6896551724138
"53","P46",52,0,60,17.1428571428571,0.914094096477022,0.193457032133431,0.613242436414537,57.2619047619048,69.1904761904762,16.6190476190476,30.4285714285714,24.8571428571429
"54","P47",53,0,69,27,0.559786168780084,0.17781123182643,0.640161566677894,71.6428571428571,83.6428571428571,14.9285714285714,14.9642857142857,11.3035714285714
"55","P48",54,0,47,18.3673469387755,0.310193135394145,0.0806726646763633,0.256200219772749,19.6774193548387,28.741935483871,18.1935483870968,38.5806451612903,56.1935483870968
"56","P50",55,0,26,10.7142857142857,0.280598438380649,0.103460022171109,0.341087250806685,23.9,27.1333333333333,19.5666666666667,24.6666666666667,60.65
"57","P51",56,0,37,22,0.838673270594251,0.245493272402665,0.851863432910029,44.9838709677419,54.6451612903226,37.4193548387097,37.7096774193548,35.6129032258064
"58","P52",57,0,27,14,0.452112811035639,0.244578905498152,0.926279781150747,20.6612903225806,17.1935483870968,19.3225806451613,25.4838709677419,58.258064516129
"59","P53",58,0,35,17,0.69442853745076,0.19865233115117,0.711550694402796,68.7333333333333,81.2,14.4666666666667,35.2,14
"60","P54",59,0,41,16,0.671300376820978,0.248777654779199,0.799760143870391,21.1666666666667,20.0740740740741,16.1481481481481,20.5555555555556,56.6851851851852
"61","P55",60,0,49,11,0.472415887329221,0.170247451291428,0.635780797807077,14.0384615384615,48.5,20.3076923076923,66.7307692307692,31.0384615384615
"62","P56",61,0,73,23,0.415670121373923,0.152543308547252,0.519851153491362,58.9354838709677,76,24.6774193548387,27.258064516129,14.9193548387097
"63","P57",62,0,90,16,0.510853677808044,0.178676022494221,0.604794351962019,64.2222222222222,76.0740740740741,22.2962962962963,22.8148148148148,20.7777777777778
"64","P58",63,0,99,14.2857142857143,0.846661029232698,0.240167222276863,0.862420279767815,63.5967741935484,86.8387096774194,11.8709677419355,32.3870967741936,10.6612903225806
