"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanCOMP"
"105","P43","image-6","type-S","class-F","P43_image-6_type-S_class-F.JPG",61,61.8333333333333
"106","P70","image-6","type-O","class-M","P70_image-6_type-O_class-M.JPG",65,61.75
"107","P20","image-2","type-I","class-F","P20_image-2_type-I_class-F.JPG",49,61.7
"108","P116","image-4","type-O","class-C","P116_image-4_type-O_class-C.JPG",78,61.6666666666667
"109","P18","image-3","type-O","class-C","P18_image-3_type-O_class-C.JPG",53,61.6
"110","P71","image-4","type-S","class-M","P71_image-4_type-S_class-M.JPG",56,61.5833333333333
"111","P110","image-4","type-I","class-F","P110_image-4_type-I_class-F.JPG",88,61.5
"112","P81","image-2","type-I","class-F","P81_image-2_type-I_class-F.JPG",59,61.25
"113","P121","image-2","type-O","class-F","P121_image-2_type-O_class-F.JPG",66,61
"114","P53","image-3","type-S","class-M","P53_image-3_type-S_class-M.JPG",35,60.7
"115","P71","image-3","type-I","class-M","P71_image-3_type-I_class-M.JPG",56,60.7
"116","P69","image-4","type-O","class-H","P69_image-4_type-O_class-H.JPG",72,60.4285714285714
"117","P117","image-4","type-I","class-H","P117_image-4_type-I_class-H.JPG",42,60.3
"118","P77","image-3","type-O","class-H","P77_image-3_type-O_class-H.JPG",60,60.3
"119","P22","image-2","type-S","class-M","P22_image-2_type-S_class-M.JPG",71,60.2
"120","P22","image-5","type-I","class-H","P22_image-5_type-I_class-H.JPG",71,60.0833333333333
